p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,label
0.48908445,0.8337792,-6.2217106e-07,0.5941404,0.7627202,-0.04426924,0.65474135,0.64632726,-0.054922063,0.6745979,0.542023,-0.06531759,0.7028695,0.46447283,-0.070100375,0.59753525,0.58250594,-0.0030328506,0.59430856,0.5262248,-0.06827918,0.5783667,0.59713465,-0.10498616,0.5710112,0.6607491,-0.11458345,0.5313998,0.5876775,0.0032279894,0.5242145,0.5384023,-0.07837371,0.518012,0.6367941,-0.10247515,0.5227454,0.7130489,-0.09510294,0.46944976,0.5996799,-0.002646578,0.45538613,0.5652342,-0.08202234,0.46690232,0.6624185,-0.07921096,0.48278838,0.73121536,-0.050481893,0.40481427,0.6135598,-0.011530862,0.4008181,0.57134026,-0.059966933,0.4156326,0.63543284,-0.053065024,0.4319669,0.68119514,-0.030781696,0
0.5302093,0.784812,-8.0522847e-07,0.60439956,0.72914475,-0.009324847,0.63111746,0.63446134,-0.011076701,0.6255346,0.5549875,-0.018384121,0.62115514,0.4880853,-0.020279977,0.55603284,0.55369157,0.018816534,0.6267636,0.522634,-0.021654114,0.6323394,0.5836555,-0.04277388,0.6222153,0.63618433,-0.048368964,0.5181699,0.551649,0.009584895,0.6098304,0.54485744,-0.034759074,0.6073928,0.63156855,-0.043443747,0.5897657,0.68784755,-0.036252845,0.48059464,0.5602081,-0.0074243727,0.5812297,0.5606641,-0.055636033,0.57539463,0.646718,-0.050833054,0.5523471,0.69698036,-0.032018714,0.4414355,0.5804366,-0.025391772,0.53204334,0.5701984,-0.054071,0.54118633,0.6268575,-0.047336154,0.52337354,0.6625643,-0.032381374,0
0.5020609,0.8389498,-6.7979414e-07,0.5978308,0.7768176,-0.046977688,0.66073734,0.66033036,-0.05888219,0.687617,0.55757135,-0.07027447,0.70992804,0.47650906,-0.07657836,0.5949055,0.582163,-0.0015985318,0.5893048,0.5359063,-0.064327136,0.57913506,0.61059135,-0.101940714,0.57301056,0.67505586,-0.11240992,0.53111684,0.5862492,0.0055584265,0.52615803,0.54601413,-0.06717608,0.52374744,0.6441417,-0.08996532,0.52736485,0.7185419,-0.083093785,0.47053793,0.6004289,0.00010162229,0.46011078,0.5725057,-0.07113718,0.47416645,0.6694208,-0.06847379,0.48985487,0.73749834,-0.041827604,0.41056147,0.6205945,-0.008908576,0.4034969,0.58304644,-0.051709607,0.4223424,0.6428039,-0.04413446,0.44203332,0.68539023,-0.022296665,0
0.50478137,0.845969,-7.059089e-07,0.61931264,0.7648711,-0.046502918,0.68162596,0.6419492,-0.05855551,0.70504844,0.53348815,-0.07118279,0.72967386,0.44996324,-0.07808536,0.62136334,0.57099855,-0.0051882337,0.6112397,0.508503,-0.075755246,0.59348327,0.5801036,-0.117246166,0.587784,0.64694804,-0.12994736,0.5457105,0.57838726,-0.00025474705,0.53406984,0.52314574,-0.08864187,0.5301911,0.6259102,-0.11555885,0.5379232,0.7093869,-0.10926152,0.47726876,0.59287524,-0.00823978,0.46443924,0.55506223,-0.09379719,0.47878194,0.65604687,-0.092476755,0.49682653,0.730221,-0.06321887,0.4099844,0.61096317,-0.019734181,0.41018426,0.5616439,-0.072983705,0.42589664,0.6285693,-0.06774475,0.4418335,0.6793576,-0.04576409,0
0.50948596,0.8007249,-6.794825e-07,0.60616505,0.7416357,-0.04198381,0.66893137,0.6339985,-0.05187206,0.6839013,0.5296157,-0.060463134,0.70605034,0.45198214,-0.06286549,0.6132065,0.56230277,-0.009210178,0.6110098,0.49779034,-0.06701043,0.5934039,0.5689499,-0.09569401,0.58415896,0.63439626,-0.10104066,0.5480596,0.569003,-0.0028769975,0.53745806,0.5105192,-0.07584616,0.5322746,0.6111368,-0.09423048,0.5370146,0.6873312,-0.08477555,0.48883638,0.58210915,-0.0070268665,0.47239423,0.54074025,-0.07950663,0.4860181,0.6385165,-0.07386163,0.5044002,0.70588803,-0.04567466,0.42941087,0.5995036,-0.013693621,0.41953146,0.5531924,-0.058561575,0.43404835,0.6154117,-0.05155199,0.4518538,0.6594502,-0.030993083,0
0.47136828,0.7795765,-3.5393942e-08,0.5256486,0.7278082,-0.08369134,0.56300944,0.64228904,-0.10542474,0.57246095,0.55092496,-0.11466756,0.597138,0.4858058,-0.11594163,0.5882047,0.59993297,-0.016491035,0.56676096,0.53811336,-0.07214104,0.56307715,0.55730486,-0.105658755,0.58006907,0.56754655,-0.11750549,0.5313243,0.59488785,0.017203223,0.4824546,0.53195834,-0.0551768,0.47084498,0.60943323,-0.08003132,0.48432368,0.6573932,-0.07327792,0.47714782,0.5974385,0.036586747,0.43141463,0.54603136,-0.041831583,0.43542925,0.63131076,-0.048004724,0.45789778,0.6831182,-0.02435336,0.4294608,0.60466486,0.050875124,0.39781943,0.572966,-0.004119643,0.40407604,0.63107806,-0.010756126,0.4279069,0.66866165,0.0037176816,0
0.4715122,0.7927418,-5.2039337e-07,0.55500776,0.74091506,-0.05463447,0.6153322,0.6430912,-0.06758586,0.63105536,0.54361033,-0.07505182,0.6504539,0.47011688,-0.075618275,0.5638338,0.57145983,-0.0062275524,0.52948844,0.52415067,-0.058683902,0.51150745,0.5928706,-0.08802631,0.51307213,0.6498911,-0.09501269,0.5056572,0.57518315,0.010905693,0.4670182,0.5358313,-0.056706455,0.46888793,0.6245696,-0.07926948,0.48182014,0.68783176,-0.073363736,0.45635715,0.5862706,0.01664906,0.41949847,0.5642018,-0.051307075,0.4360399,0.64731336,-0.054376025,0.45821947,0.7037367,-0.03276814,0.41157952,0.60025436,0.019055383,0.38679522,0.5713503,-0.025895735,0.3994319,0.6284694,-0.027126856,0.4220658,0.668303,-0.011390092,0
0.52555746,0.79247105,-5.541623e-08,0.47515976,0.7375047,-0.118849285,0.44629103,0.6501408,-0.15596955,0.43967426,0.55903816,-0.17286791,0.41221097,0.48124546,-0.17648804,0.4129489,0.5671993,-0.0492904,0.47679228,0.52224296,-0.11246386,0.5059749,0.58233744,-0.14699303,0.5097949,0.627919,-0.15523982,0.46884665,0.56795347,0.0027977491,0.5397491,0.51882493,-0.068613335,0.5531944,0.6061795,-0.09140718,0.5391356,0.6578446,-0.08434868,0.52282125,0.5738296,0.037446775,0.5847342,0.5443836,-0.038022023,0.5797025,0.62842494,-0.047037188,0.5550558,0.66950184,-0.02755026,0.5652362,0.58054274,0.06409613,0.6138658,0.5631161,0.016015973,0.6013419,0.6219996,0.008188073,0.5766489,0.6521306,0.018884053,0
0.4860747,0.784101,-5.870322e-07,0.5735027,0.73268074,-0.04666289,0.6322028,0.62947357,-0.057597753,0.64624935,0.52773046,-0.064924575,0.67212915,0.45593968,-0.06581706,0.5818172,0.56126654,-0.009773753,0.5702029,0.50508475,-0.06270558,0.5500307,0.5736733,-0.08875268,0.54366404,0.63514775,-0.09352676,0.52088857,0.56554586,0.00076243037,0.5018046,0.51686406,-0.065679416,0.501337,0.6106427,-0.08297894,0.510131,0.6778778,-0.074535854,0.4669943,0.57677984,0.0007543535,0.44428277,0.54260314,-0.065824404,0.45967767,0.63292915,-0.06100654,0.4776377,0.6922207,-0.035525624,0.4137266,0.5926663,-0.0022259683,0.4007737,0.55327946,-0.044656236,0.41331536,0.6129921,-0.03904499,0.42976224,0.6522371,-0.020065613,0
0.5212619,0.7631782,-3.1013892e-07,0.6049315,0.72117275,-0.0304127,0.65630627,0.6160224,-0.03303855,0.66797465,0.5338894,-0.036118176,0.68483406,0.47099507,-0.034631923,0.60152,0.56189114,0.00017494736,0.625237,0.5094034,-0.04354358,0.6146693,0.5740478,-0.06364966,0.60333264,0.62744623,-0.06572608,0.55142915,0.5653011,0.00279448,0.5739321,0.5156009,-0.052506052,0.56721735,0.6016878,-0.06539938,0.5603289,0.66487324,-0.056005705,0.49783325,0.5754538,-0.0030918827,0.51790154,0.53614247,-0.06300644,0.5223117,0.6274385,-0.05652121,0.52182865,0.6895058,-0.030590035,0.4394974,0.5886527,-0.010260206,0.4647244,0.5483596,-0.04994618,0.47787955,0.60760766,-0.04155918,0.4812689,0.6517516,-0.021270676,0
